ticket_id;data_criacao;data_fechamento;tempo_resolucao;responsavel;descricao
TKT0001;2025-06-13 03:00:00;;;Andre;Recebi minha fatura com cobrança de serviços que não contratei e preciso que seja corrigido imediatamente.
TKT0002;2025-06-14 03:00:00;;;Bianca;O atendimento no chat demorou mais de 40 minutos e não resolveu o meu problema.
TKT0003;2025-06-15 03:00:00;;;Carlos;Meu aplicativo está travando toda vez que tento acessar a aba de relatórios.
TKT0004;2025-06-16 03:00:00;;;Diego;Erro de autenticação ao tentar fazer login no portal, mesmo com senha correta.
TKT0005;2025-06-17 03:00:00;;;Elis;O sistema apresenta falha intermitente durante o envio de arquivos maiores que 10 MB.
TKT0006;2025-06-18 03:00:00;;;Fabio;Como posso alterar a forma de pagamento cadastrada na minha conta?
TKT0007;2025-06-19 03:00:00;;;Gabriela;Quais são os requisitos de senha para criar um novo usuário no sistema?
TKT0008;2025-06-20 03:00:00;;;Andre;Gostaria de solicitar a criação de um novo usuário com perfil de administrador.
TKT0009;2025-06-21 03:00:00;;;Bianca;Necessito liberar acesso ao servidor de arquivos para o setor de marketing.
TKT0010;2025-06-22 03:00:00;;;Elis;Solicito a instalação da impressora da sala 203 no meu computador.
TKT0011;2025-06-23 03:00:00;;;Fabio;Gostei muito da nova interface do portal, está mais rápida e intuitiva.
TKT0012;2025-06-24 03:00:00;;;Gabriela;Achei o atendimento telefônico cordial, mas poderia haver mais agilidade na transferência de chamadas.
TKT0013;2025-06-25 03:00:00;;;Andre;O boleto foi enviado com a data de vencimento errada e já está vencido quando recebo.
TKT0014;2025-06-26 03:00:00;;;Bianca;Após a última atualização, o aplicativo não abre no meu celular Android
TKT0015;2025-06-27 03:00:00;;;Elis;Existe algum manual ou tutorial para utilizar a função de relatórios avançados?